============================================================
  Experiment 5 -- Proximity vs Diversity 2x2
  bash src/exp5/run_exp5.sh > results/exp5/results.txt 2>&1
============================================================
[IRM - Config A - train_domain_val]
Using device: cuda
Mode: irm  |  Config: A  |  e values: [0.1, 0.2]  |  Selection: train_domain_val  |  Trials: 50
Trial 00 | score: 0.7000 | val: ['0.7000', '0.7568'] | test: 0.8158 | elapsed: 1.1s
Trial 01 | score: 0.6896 | val: ['0.6944', '0.6896'] | test: 0.7050 | elapsed: 2.6s
Trial 02 | score: 0.7034 | val: ['0.7034', '0.7774'] | test: 0.8491 | elapsed: 0.7s
Trial 03 | score: 0.6464 | val: ['0.6580', '0.6464'] | test: 0.6506 | elapsed: 0.8s
Trial 04 | score: 0.7042 | val: ['0.7042', '0.7178'] | test: 0.7442 | elapsed: 1.7s
Trial 05 | score: 0.6250 | val: ['0.6250', '0.6284'] | test: 0.6286 | elapsed: 1.9s
Trial 06 | score: 0.7136 | val: ['0.7136', '0.7196'] | test: 0.7373 | elapsed: 2.3s
Trial 07 | score: 0.7296 | val: ['0.7296', '0.7392'] | test: 0.7692 | elapsed: 2.5s
Trial 08 | score: 0.7250 | val: ['0.7250', '0.7402'] | test: 0.7622 | elapsed: 0.9s
Trial 09 | score: 0.7268 | val: ['0.7268', '0.7344'] | test: 0.7459 | elapsed: 0.8s
Trial 10 | score: 0.7106 | val: ['0.7106', '0.7174'] | test: 0.7448 | elapsed: 0.6s
Trial 11 | score: 0.7120 | val: ['0.7120', '0.7406'] | test: 0.7760 | elapsed: 0.6s
Trial 12 | score: 0.7250 | val: ['0.7250', '0.7280'] | test: 0.7413 | elapsed: 1.3s
Trial 13 | score: 0.7270 | val: ['0.7270', '0.7558'] | test: 0.7912 | elapsed: 1.1s
Trial 14 | score: 0.6604 | val: ['0.6644', '0.6604'] | test: 0.6604 | elapsed: 3.1s
Trial 15 | score: 0.7332 | val: ['0.7332', '0.7422'] | test: 0.7552 | elapsed: 2.3s
Trial 16 | score: 0.7350 | val: ['0.7350', '0.7408'] | test: 0.7657 | elapsed: 2.5s
Trial 17 | score: 0.7216 | val: ['0.7216', '0.7316'] | test: 0.7585 | elapsed: 0.6s
Trial 18 | score: 0.5922 | val: ['0.5922', '0.5946'] | test: 0.5989 | elapsed: 4.5s
Trial 19 | score: 0.7204 | val: ['0.7204', '0.7356'] | test: 0.7671 | elapsed: 4.9s
Trial 20 | score: 0.7310 | val: ['0.7310', '0.7520'] | test: 0.8055 | elapsed: 2.4s
Trial 21 | score: 0.7136 | val: ['0.7136', '0.7774'] | test: 0.8498 | elapsed: 0.5s
Trial 22 | score: 0.7182 | val: ['0.7182', '0.7598'] | test: 0.8290 | elapsed: 0.6s
Trial 23 | score: 0.6674 | val: ['0.6674', '0.6766'] | test: 0.6949 | elapsed: 2.6s
Trial 24 | score: 0.7356 | val: ['0.7356', '0.7458'] | test: 0.7800 | elapsed: 1.4s
Trial 25 | score: 0.6960 | val: ['0.6960', '0.7956'] | test: 0.8993 | elapsed: 0.5s
Trial 26 | score: 0.7314 | val: ['0.7314', '0.7426'] | test: 0.7705 | elapsed: 1.5s
Trial 27 | score: 0.7204 | val: ['0.7204', '0.7212'] | test: 0.7317 | elapsed: 2.2s
Trial 28 | score: 0.7250 | val: ['0.7250', '0.7686'] | test: 0.8262 | elapsed: 0.5s
Trial 29 | score: 0.6796 | val: ['0.6796', '0.7370'] | test: 0.7904 | elapsed: 2.6s
Trial 30 | score: 0.6628 | val: ['0.6636', '0.6628'] | test: 0.6769 | elapsed: 1.8s
Trial 31 | score: 0.6284 | val: ['0.6284', '0.6432'] | test: 0.6584 | elapsed: 2.9s
Trial 32 | score: 0.7080 | val: ['0.7080', '0.7114'] | test: 0.7380 | elapsed: 2.3s
Trial 33 | score: 0.7258 | val: ['0.7258', '0.7422'] | test: 0.7668 | elapsed: 2.3s
Trial 34 | score: 0.6954 | val: ['0.6954', '0.7960'] | test: 0.9013 | elapsed: 0.4s
Trial 35 | score: 0.7094 | val: ['0.7096', '0.7094'] | test: 0.7262 | elapsed: 3.2s
Trial 36 | score: 0.7084 | val: ['0.7084', '0.7100'] | test: 0.7166 | elapsed: 2.9s
Trial 37 | score: 0.7254 | val: ['0.7254', '0.7352'] | test: 0.7509 | elapsed: 1.5s
Trial 38 | score: 0.7158 | val: ['0.7158', '0.7748'] | test: 0.8479 | elapsed: 0.5s
Trial 39 | score: 0.7094 | val: ['0.7094', '0.7334'] | test: 0.7647 | elapsed: 2.7s
Trial 40 | score: 0.7186 | val: ['0.7186', '0.7720'] | test: 0.8389 | elapsed: 0.6s
Trial 41 | score: 0.6308 | val: ['0.6308', '0.6338'] | test: 0.6452 | elapsed: 1.8s
Trial 42 | score: 0.7226 | val: ['0.7226', '0.7330'] | test: 0.7514 | elapsed: 2.1s
Trial 43 | score: 0.6810 | val: ['0.6810', '0.6812'] | test: 0.6790 | elapsed: 2.4s
Trial 44 | score: 0.7246 | val: ['0.7246', '0.7604'] | test: 0.8057 | elapsed: 0.8s
Trial 45 | score: 0.7180 | val: ['0.7188', '0.7180'] | test: 0.7257 | elapsed: 2.4s
Trial 46 | score: 0.7196 | val: ['0.7196', '0.7572'] | test: 0.8122 | elapsed: 2.4s
Trial 47 | score: 0.5390 | val: ['0.5458', '0.5390'] | test: 0.5153 | elapsed: 1.5s
Trial 48 | score: 0.6538 | val: ['0.6576', '0.6538'] | test: 0.6549 | elapsed: 1.6s
Trial 49 | score: 0.7126 | val: ['0.7126', '0.7738'] | test: 0.8469 | elapsed: 0.5s

Best score: 0.7356
Best hparams: {'hidden_dim': 130, 'l2_regularizer_weight': 0.00019538723894770713, 'lr': 0.0029245704044481447, 'penalty_anneal_iters': 78, 'penalty_weight': 1085.0715400659033, 'steps': 301, 'grayscale_model': False}
Saved -> results/exp5/search_results_irm_B_train_domain_val.json
[IRM - Config B - leave_one_domain_out]
Using device: cuda
Mode: irm  |  Config: B  |  e values: [0.7, 0.8]  |  Selection: leave_one_domain_out  |  Trials: 50

Trial 00 | score: 0.7049 | val: ['0.7049', '0.7768'] | test: 0.8595 | elapsed: 1.3s
Trial 01 | score: 0.6825 | val: ['0.7184', '0.6825'] | test: 0.7775 | elapsed: 3.4s
Trial 02 | score: 0.7127 | val: ['0.7127', '0.7392'] | test: 0.8041 | elapsed: 0.9s
Trial 03 | score: 0.7021 | val: ['0.7021', '0.7884'] | test: 0.8802 | elapsed: 1.3s
Trial 04 | score: 0.7138 | val: ['0.7138', '0.7565'] | test: 0.8231 | elapsed: 3.0s
Trial 05 | score: 0.7011 | val: ['0.7011', '0.7956'] | test: 0.8916 | elapsed: 2.3s
Trial 06 | score: 0.7137 | val: ['0.7137', '0.7643'] | test: 0.8312 | elapsed: 3.7s
Trial 07 | score: 0.7102 | val: ['0.7102', '0.7702'] | test: 0.8416 | elapsed: 3.6s
Trial 08 | score: 0.7172 | val: ['0.7172', '0.7230'] | test: 0.7822 | elapsed: 1.6s
Trial 09 | score: 0.7176 | val: ['0.7176', '0.7584'] | test: 0.8087 | elapsed: 1.1s
Trial 10 | score: 0.7303 | val: ['0.7303', '0.7509'] | test: 0.7903 | elapsed: 1.0s
Trial 11 | score: 0.7148 | val: ['0.7148', '0.7455'] | test: 0.7935 | elapsed: 1.4s
Trial 12 | score: 0.7064 | val: ['0.7064', '0.7745'] | test: 0.8501 | elapsed: 2.1s
Trial 13 | score: 0.7127 | val: ['0.7127', '0.7669'] | test: 0.8329 | elapsed: 1.6s
Trial 14 | score: 0.7020 | val: ['0.7020', '0.7885'] | test: 0.8798 | elapsed: 4.0s
Trial 15 | score: 0.7240 | val: ['0.7240', '0.7652'] | test: 0.8077 | elapsed: 3.5s
Trial 16 | score: 0.7088 | val: ['0.7088', '0.7653'] | test: 0.8382 | elapsed: 3.5s
Trial 17 | score: 0.7165 | val: ['0.7165', '0.7770'] | test: 0.8395 | elapsed: 0.9s
Trial 18 | score: 0.7010 | val: ['0.7010', '0.8007'] | test: 0.9002 | elapsed: 5.8s
Trial 19 | score: 0.5889 | val: ['0.5889', '0.7189'] | test: 0.6836 | elapsed: 6.0s
Trial 20 | score: 0.7136 | val: ['0.7136', '0.7710'] | test: 0.8372 | elapsed: 2.9s
Trial 21 | score: 0.7125 | val: ['0.7125', '0.7568'] | test: 0.8266 | elapsed: 0.6s
Trial 22 | score: 0.7190 | val: ['0.7190', '0.7692'] | test: 0.8312 | elapsed: 0.8s
Trial 23 | score: 0.7012 | val: ['0.7012', '0.7924'] | test: 0.8851 | elapsed: 3.6s
Trial 24 | score: 0.7098 | val: ['0.7098', '0.7672'] | test: 0.8363 | elapsed: 2.4s
Trial 25 | score: 0.7014 | val: ['0.7014', '0.7981'] | test: 0.8938 | elapsed: 0.7s
Trial 26 | score: 0.7087 | val: ['0.7087', '0.7707'] | test: 0.8422 | elapsed: 2.0s
Trial 27 | score: 0.7060 | val: ['0.7060', '0.7748'] | test: 0.8500 | elapsed: 2.9s
Trial 28 | score: 0.7124 | val: ['0.7124', '0.7770'] | test: 0.8495 | elapsed: 0.7s
Trial 29 | score: 0.7144 | val: ['0.7144', '0.7407'] | test: 0.8065 | elapsed: 3.3s
Trial 30 | score: 0.7036 | val: ['0.7036', '0.7856'] | test: 0.8707 | elapsed: 2.3s
Trial 31 | score: 0.7010 | val: ['0.7010', '0.7990'] | test: 0.8962 | elapsed: 3.8s
Trial 32 | score: 0.7134 | val: ['0.7134', '0.7468'] | test: 0.8103 | elapsed: 2.8s
Trial 33 | score: 0.7177 | val: ['0.7177', '0.7252'] | test: 0.7960 | elapsed: 3.7s
Trial 34 | score: 0.7010 | val: ['0.7010', '0.7999'] | test: 0.8995 | elapsed: 0.7s
