============================================================
  Experiment 4 -- Number of Environments (Fixed Range)
  bash src/exp4/run_exp4.sh > results/exp4/results.txt 2>&1
============================================================
[IRM - n_envs=1 - oracle]
Using device: cuda
Mode: irm  |  n_envs: 1  |  Selection: oracle  |  Trials: 50

Trial 38 | score: 0.7993 | val: ['0.8866', '0.7993'] | test: 0.1302 | elapsed: 0.7s
Trial 39 | score: 0.7912 | val: ['0.8076', '0.7912'] | test: 0.3099 | elapsed: 4.1s
Trial 40 | score: 0.7992 | val: ['0.8725', '0.7992'] | test: 0.1602 | elapsed: 0.8s
Trial 41 | score: 0.7993 | val: ['0.9007', '0.7993'] | test: 0.0987 | elapsed: 2.5s
Trial 42 | score: 0.7993 | val: ['0.8914', '0.7993'] | test: 0.1203 | elapsed: 2.7s
Trial 43 | score: 0.7993 | val: ['0.8978', '0.7993'] | test: 0.1041 | elapsed: 4.0s
Trial 44 | score: 0.7993 | val: ['0.8894', '0.7993'] | test: 0.1265 | elapsed: 1.2s
Trial 45 | score: 0.7993 | val: ['0.8900', '0.7993'] | test: 0.1221 | elapsed: 3.4s
Trial 46 | score: 0.7960 | val: ['0.8556', '0.7960'] | test: 0.2096 | elapsed: 3.4s
Trial 47 | score: 0.7694 | val: ['0.8703', '0.7694'] | test: 0.2477 | elapsed: 2.2s
Trial 48 | score: 0.7993 | val: ['0.8998', '0.7993'] | test: 0.0996 | elapsed: 2.1s
Trial 49 | score: 0.7993 | val: ['0.8803', '0.7993'] | test: 0.1415 | elapsed: 0.7s

Best score: 0.7995
Best hparams: {'hidden_dim': 468, 'l2_regularizer_weight': 2.7944222890926726e-05, 'lr': 0.0029691272702386, 'penalty_anneal_iters': 123, 'penalty_weight': 194758.00184431672, 'steps': 501, 'grayscale_model': False}
Saved -> results/exp4/search_results_irm_2_leave_one_domain_out.json
[IRM - n_envs=3 - oracle]
Using device: cuda
Mode: irm  |  n_envs: 3  |  Selection: oracle  |  Trials: 50

Trial 00 | score: 0.1006 | val: [] | test: 0.1006 | elapsed: 1.3s
Trial 01 | score: 0.5834 | val: [] | test: 0.5834 | elapsed: 3.3s
Trial 02 | score: 0.2277 | val: [] | test: 0.2277 | elapsed: 0.9s
Trial 03 | score: 0.5993 | val: [] | test: 0.5993 | elapsed: 1.4s
